iter	Passed	Remaining
0	92	92901
1	110	55209
2	128	42742
3	145	36155
4	162	32254
5	178	29568
6	194	27568
7	212	26349
8	230	25391
9	248	24565
10	265	23827
11	281	23203
12	300	22805
13	317	22375
14	335	22040
15	352	21705
16	370	21448
17	387	21148
18	406	20973
19	424	20811
20	441	20565
21	458	20392
22	475	20182
23	491	19973
24	508	19841
25	525	19695
26	543	19578
27	562	19526
28	578	19380
29	594	19216
30	612	19140
31	630	19085
32	647	18977
33	665	18918
34	681	18793
35	698	18711
36	715	18627
37	731	18529
38	750	18486
39	766	18403
40	785	18369
41	803	18322
42	820	18257
43	836	18178
44	853	18113
45	871	18068
46	888	18016
47	904	17936
48	921	17887
49	939	17841
50	955	17787
51	974	17769
52	991	17718
53	1010	17700
54	1032	17737
55	1049	17691
56	1067	17653
57	1083	17602
58	1100	17548
59	1119	17536
60	1138	17521
61	1156	17499
62	1172	17432
63	1188	17386
64	1204	17332
65	1222	17296
66	1239	17255
67	1254	17199
68	1271	17150
69	1287	17105
70	1305	17081
71	1321	17029
72	1340	17018
73	1359	17008
74	1375	16969
75	1391	16923
76	1409	16899
77	1424	16842
78	1444	16845
79	1464	16838
80	1481	16810
81	1498	16779
82	1516	16757
83	1534	16731
84	1553	16718
85	1570	16690
86	1588	16670
87	1604	16630
88	1623	16614
89	1640	16583
90	1656	16550
91	1675	16536
92	1695	16533
93	1714	16527
94	1732	16507
95	1748	16464
96	1763	16417
97	1779	16374
98	1796	16352
99	1812	16314
100	1832	16313
101	1851	16301
102	1868	16275
103	1887	16260
104	1903	16223
105	1921	16209
106	1941	16204
107	1957	16166
108	1975	16150
109	1993	16126
110	2008	16086
111	2026	16067
112	2044	16046
113	2062	16033
114	2082	16024
115	2101	16013
116	2120	16001
117	2139	15988
118	2157	15970
119	2174	15944
120	2188	15900
121	2206	15880
122	2222	15844
123	2240	15831
124	2259	15816
125	2277	15800
126	2295	15782
127	2314	15768
128	2333	15754
129	2350	15733
130	2369	15718
131	2388	15704
132	2406	15684
133	2424	15669
134	2442	15652
135	2460	15633
136	2479	15620
137	2499	15610
138	2517	15594
139	2536	15580
140	2554	15565
141	2573	15547
142	2591	15530
143	2610	15517
144	2628	15501
145	2647	15484
146	2665	15468
147	2683	15445
148	2701	15428
149	2722	15429
150	2742	15419
151	2760	15402
152	2779	15387
153	2797	15368
154	2816	15352
155	2833	15332
156	2852	15315
157	2869	15292
158	2887	15270
159	2905	15253
160	2924	15241
161	2943	15225
162	2962	15214
163	2981	15198
164	2999	15179
165	3017	15160
166	3035	15142
167	3054	15125
168	3072	15108
169	3091	15094
170	3110	15077
171	3128	15062
172	3147	15046
173	3165	15028
174	3183	15006
175	3200	14985
176	3220	14972
177	3237	14952
178	3257	14942
179	3275	14923
180	3295	14911
181	3314	14896
182	3332	14878
183	3351	14865
184	3371	14852
185	3389	14832
186	3407	14812
187	3424	14791
188	3442	14773
189	3462	14761
190	3480	14741
191	3498	14722
192	3516	14705
193	3535	14687
194	3553	14670
195	3571	14652
196	3590	14634
197	3608	14616
198	3627	14599
199	3645	14583
200	3662	14560
201	3682	14549
202	3701	14531
203	3719	14514
204	3738	14496
205	3757	14483
206	3776	14467
207	3795	14450
208	3812	14430
209	3831	14413
210	3850	14398
